gid,genus,species,x,y
774621,Quercus,acutifolia,-97.7366666666667,18.3966666666667
774622,Quercus,acutifolia,-101.8,19.463
774623,Quercus,acutifolia,-98.2266666666667,20.335
774624,Quercus,acutifolia,-93.6083333333333,16.1583333333333
774625,Quercus,acutifolia,-100.145736111111,19.1506
774626,Quercus,acutifolia,-103.671111111111,19.5266666666667
774627,Quercus,acutifolia,-98.1366666666667,18.9494444444444
774628,Quercus,acutifolia,-92.2305555555556,15.375
774629,Quercus,acutifolia,-96.9,16.445
774630,Quercus,acutifolia,-99.221666666667,19.715
774631,Quercus,acutifolia,-100.17166666667,19.861666666667
774632,Quercus,acutifolia,-99.685,17.558333333333
774633,Quercus,acutifolia,-101.675,20.625
774634,Quercus,acutifolia,-100.118,20.806
774635,Quercus,acutifolia,-99.7688888888889,17.5675
774636,Quercus,acutifolia,-99.5102777777778,18.4894444444444
774637,Quercus,acutifolia,-99.1709073,20.9479727
774638,Quercus,acutifolia,-96.25,17.08333
774639,Quercus,acutifolia,-97.175,19.617
774640,Quercus,acutifolia,-99.685,17.558
774641,Quercus,acutifolia,-99.0197222222222,17.475
774643,Quercus,acutifolia,-99.564444444444,20.915277777778
774644,Quercus,acutifolia,-99.54,17.38
774645,Quercus,acutifolia,-94.04,16.42
774646,Quercus,acutifolia,-99.473333333333,21.221666666667
774647,Quercus,acutifolia,-98.5733333333333,20.6516666666667
774648,Quercus,acutifolia,-96.925,19.5416666666667
774649,Quercus,acutifolia,-100.15157,25.19896
774650,Quercus,acutifolia,-97.166,17.683
774651,Quercus,acutifolia,-98.573,20.652
774652,Quercus,acutifolia,-101.535555555556,19.6966666666667
774653,Quercus,acutifolia,-103.613333333333,19.5183333333333
774654,Quercus,acutifolia,-100.857,19.717
774655,Quercus,acutifolia,-92.9561111111111,16.6127777777778
774656,Quercus,acutifolia,-103.37833333333,19.251666666667
774657,Quercus,acutifolia,-99.4540972222222,17.5458583333333
774658,Quercus,acutifolia,-100.34833333333,19.341666666667
774659,Quercus,acutifolia,-97.6583333333333,18.425
